overall_question_n,format
5,Rosetta
16,Rosetta
20,Pattern
24,Rosetta
27,Pattern
34,Rosetta
42,Rosetta
45,Rosetta
48,Pattern
52,Rosetta
55,Rosetta
61,Rosetta
66,Rosetta
67,Rosetta
69,Rosetta
74,Match-up
75,Rosetta
76,Pattern
88,Rosetta
91,Pattern
92,Rosetta
94,Rosetta
95,Pattern
106,Rosetta
109,Rosetta
114,Rosetta
115,Rosetta
118,Rosetta
122,Monolingual
127,Match-up
128,Rosetta
129,Pattern
131,Rosetta
132,Rosetta
135,Pattern
136,Monolingual
137,Rosetta
139,Rosetta
144,Pattern
147,Pattern
148,Pattern
151,Pattern
155,Rosetta
160,Rosetta
163,Rosetta
164,Rosetta
167,Pattern
168,Match-up
169,Match-up
170,Pattern
171,Pattern
173,Rosetta
174,Match-up
175,Rosetta
176,Rosetta
178,Pattern
179,Rosetta
182,Rosetta
183,Rosetta
184,Rosetta
185,Match-up
187,Match-up
188,Rosetta
189,Pattern
190,Rosetta
191,Pattern
195,Rosetta
196,Match-up
197,Rosetta
199,Rosetta
202,Monolingual
204,Rosetta
207,Pattern
209,Rosetta
210,Rosetta
214,Rosetta
215,Pattern
216,Rosetta
217,Rosetta
218,Pattern
219,Rosetta
220,Match-up
